sub,sov,cond,trial_amount
26,N2,T1428_4,35
27,N2,T1428_4,36
28,N2,T1428_4,93
29,N2,T1428_4,74
30,N2,T1428_4,120
31,N2,T1428_4,88
32,N2,T1428_4,65
33,N2,T1428_4,107
34,N2,T1428_4,51
35,N2,T1428_4,67
36,N2,T1428_4,59
37,N2,T1428_4,60
38,N2,T1428_4,94
02,N2,T1856_4,49
03,N2,T1856_4,66
04,N2,T1856_4,57
08,N2,T1856_4,68
09,N2,T1856_4,84
10,N2,T1856_4,83
11,N2,T1856_4,59
13,N2,T1856_4,86
14,N2,T1856_4,29
15,N2,T1856_4,94
16,N2,T1856_4,92
17,N2,T1856_4,60
19,N2,T1856_4,96
20,N2,T1856_4,84
21,N2,T1856_4,86
23,N2,T1856_4,65
24,N2,T1856_4,112
25,N2,T1856_4,90
26,N2,T1856_4,32
27,N2,T1856_4,31
28,N2,T1856_4,94
29,N2,T1856_4,76
30,N2,T1856_4,117
31,N2,T1856_4,90
32,N2,T1856_4,66
33,N2,T1856_4,112
34,N2,T1856_4,59
35,N2,T1856_4,67
36,N2,T1856_4,54
37,N2,T1856_4,60
38,N2,T1856_4,92
02,N2,T2413_4,48
03,N2,T2413_4,73
04,N2,T2413_4,57
08,N2,T2413_4,67
09,N2,T2413_4,82
10,N2,T2413_4,82
11,N2,T2413_4,53
13,N2,T2413_4,87
14,N2,T2413_4,27
15,N2,T2413_4,94
16,N2,T2413_4,81
17,N2,T2413_4,56
19,N2,T2413_4,93
20,N2,T2413_4,81
21,N2,T2413_4,96
23,N2,T2413_4,63
24,N2,T2413_4,110
25,N2,T2413_4,88
26,N2,T2413_4,26
27,N2,T2413_4,38
28,N2,T2413_4,97
29,N2,T2413_4,77
30,N2,T2413_4,123
31,N2,T2413_4,87
32,N2,T2413_4,65
33,N2,T2413_4,121
34,N2,T2413_4,56
35,N2,T2413_4,65
36,N2,T2413_4,56
37,N2,T2413_4,62
38,N2,T2413_4,83
02,N2,T3137_4,52
03,N2,T3137_4,77
04,N2,T3137_4,60
08,N2,T3137_4,66
09,N2,T3137_4,82
10,N2,T3137_4,79
11,N2,T3137_4,57
13,N2,T3137_4,78
14,N2,T3137_4,31
15,N2,T3137_4,97
16,N2,T3137_4,90
17,N2,T3137_4,49
19,N2,T3137_4,94
20,N2,T3137_4,80
21,N2,T3137_4,85
23,N2,T3137_4,59
24,N2,T3137_4,111
25,N2,T3137_4,90
26,N2,T3137_4,28
27,N2,T3137_4,33
28,N2,T3137_4,97
29,N2,T3137_4,74
30,N2,T3137_4,117
31,N2,T3137_4,89
32,N2,T3137_4,60
33,N2,T3137_4,116
34,N2,T3137_4,54
35,N2,T3137_4,66
36,N2,T3137_4,48
37,N2,T3137_4,58
38,N2,T3137_4,86
02,N2,T4079_4,46
03,N2,T4079_4,72
04,N2,T4079_4,59
08,N2,T4079_4,70
09,N2,T4079_4,78
10,N2,T4079_4,89
11,N2,T4079_4,54
13,N2,T4079_4,92
14,N2,T4079_4,31
15,N2,T4079_4,96
16,N2,T4079_4,87
17,N2,T4079_4,46
19,N2,T4079_4,101
20,N2,T4079_4,85
21,N2,T4079_4,90
23,N2,T4079_4,56
24,N2,T4079_4,109
25,N2,T4079_4,88
26,N2,T4079_4,28
27,N2,T4079_4,39
28,N2,T4079_4,96
29,N2,T4079_4,83
30,N2,T4079_4,123
31,N2,T4079_4,87
32,N2,T4079_4,60
33,N2,T4079_4,118
34,N2,T4079_4,59
35,N2,T4079_4,60
36,N2,T4079_4,40
37,N2,T4079_4,64
38,N2,T4079_4,83
02,N2,T5302_4,42
03,N2,T5302_4,73
